Date,Produit,Région,Quantité,Prix,Catégorie,Revenue
2023-04-13,Laptop,North,6,891.13,Electronics,5346.78
2024-03-11,Laptop,South,7,799.21,Electronics,5594.47
2023-09-28,Laptop,West,3,1150.23,Electronics,3450.69
2023-04-17,Tablet,West,7,459.62,Electronics,3217.34
2023-03-13,Tablet,South,8,561.92,Electronics,4495.36
2024-12-01,Laptop,South,6,1346.44,Electronics,8078.64
2023-01-21,Monitor,West,9,1422.36,Electronics,12801.24
2024-09-06,Headphones,North,6,1344.21,Accessories,8065.26
2023-05-02,Headphones,North,9,658.2,Accessories,5923.8
2024-04-11,Phone,South,4,1181.53,Electronics,4726.12
2023-08-03,Monitor,North,8,740.69,Electronics,5925.52
2023-11-27,Tablet,West,4,771.43,Electronics,3085.72
2024-04-03,Laptop,North,2,346.79,Electronics,693.58
2023-03-29,Phone,South,9,907.14,Electronics,8164.26
2024-01-08,Headphones,West,5,319.9,Accessories,1599.5
2023-04-10,Tablet,North,4,530.77,Electronics,2123.08
2024-10-25,Tablet,East,2,1289.79,Electronics,2579.58
2023-05-11,Laptop,West,1,350.26,Electronics,350.26
2024-10-23,Headphones,West,7,153.18,Accessories,1072.26
2023-11-05,Monitor,East,6,150.06,Electronics,900.36
2023-12-10,Tablet,East,2,1414.14,Electronics,2828.28
2024-05-06,Laptop,West,8,785.03,Electronics,6280.24
2024-02-18,Monitor,East,4,643.65,Electronics,2574.6
2024-01-21,Headphones,South,8,1225.77,Accessories,9806.16
2023-07-11,Tablet,South,7,1261.95,Electronics,8833.65
2023-10-04,Monitor,South,5,531.68,Electronics,2658.3999999999996
2023-06-10,Monitor,West,8,1055.75,Electronics,8446.0
2024-04-04,Monitor,East,9,1168.13,Electronics,10513.170000000002
2023-11-10,Tablet,East,5,999.24,Electronics,4996.2
2023-01-22,Tablet,North,5,269.81,Electronics,1349.05
2023-09-10,Phone,North,2,1320.03,Electronics,2640.06
2024-07-14,Headphones,East,5,831.69,Accessories,4158.450000000001
2024-04-19,Laptop,East,3,459.59,Electronics,1378.77
2023-02-28,Monitor,East,7,666.58,Electronics,4666.06
2024-05-25,Phone,West,5,104.48,Electronics,522.4
2024-11-12,Laptop,East,8,235.41,Electronics,1883.28
2024-04-20,Phone,North,1,1160.04,Electronics,1160.04
2024-11-30,Tablet,West,3,50.02,Electronics,150.06
2023-07-09,Monitor,East,3,654.02,Electronics,1962.06
2024-11-17,Laptop,North,9,807.64,Electronics,7268.76
2024-07-16,Laptop,West,5,129.22,Electronics,646.1
2024-07-20,Laptop,East,9,1460.96,Electronics,13148.64
2023-09-01,Laptop,East,9,377.88,Electronics,3400.92
2024-05-19,Laptop,East,1,491.09,Electronics,491.09
2023-05-11,Phone,West,2,490.72,Electronics,981.44
2024-04-29,Monitor,North,5,384.1,Electronics,1920.5
2024-10-08,Tablet,North,4,52.14,Electronics,208.56
2023-01-21,Tablet,South,9,1107.55,Electronics,9967.949999999999
2023-06-16,Tablet,East,7,1451.93,Electronics,10163.51
2023-10-01,Tablet,South,6,375.23,Electronics,2251.38
2024-01-23,Phone,South,7,1011.42,Electronics,7079.94
2024-08-23,Headphones,North,1,1125.75,Accessories,1125.75
2023-11-12,Monitor,West,1,1280.22,Electronics,1280.22
2023-01-14,Laptop,West,8,662.81,Electronics,5302.48
2023-08-30,Headphones,North,2,489.25,Accessories,978.5
2023-12-12,Tablet,West,9,521.68,Electronics,4695.12
2024-07-18,Headphones,South,7,1083.3,Accessories,7583.099999999999
2023-12-06,Monitor,East,6,1234.33,Electronics,7405.98
2023-04-02,Laptop,North,1,313.34,Electronics,313.34
2024-01-02,Laptop,East,1,587.86,Electronics,587.86
2024-03-30,Monitor,West,2,1357.81,Electronics,2715.62
2024-03-03,Monitor,East,6,1219.71,Electronics,7318.26
2024-05-23,Tablet,West,6,1478.04,Electronics,8868.24
2023-02-04,Laptop,West,2,1143.66,Electronics,2287.32
2023-07-25,Headphones,South,1,620.13,Accessories,620.13
2023-03-22,Phone,West,5,906.42,Electronics,4532.099999999999
2024-07-15,Phone,South,5,1008.47,Electronics,5042.35
2024-01-23,Monitor,South,2,163.76,Electronics,327.52
2023-01-02,Tablet,South,6,839.52,Electronics,5037.12
2024-01-25,Phone,North,9,1078.52,Electronics,9706.68
2024-07-19,Laptop,North,2,292.62,Electronics,585.24
2023-04-16,Monitor,West,2,1181.92,Electronics,2363.84
2024-04-21,Headphones,South,3,896.47,Accessories,2689.41
2024-12-03,Monitor,North,7,1430.72,Electronics,10015.04
2024-02-06,Headphones,South,6,111.51,Accessories,669.0600000000001
2024-12-30,Monitor,East,8,434.72,Electronics,3477.76
2024-07-09,Monitor,East,8,922.25,Electronics,7378.0
2023-06-11,Monitor,East,6,480.01,Electronics,2880.06
2023-07-21,Headphones,West,3,1085.92,Accessories,3257.76
2023-09-27,Headphones,South,3,1150.56,Accessories,3451.68
2023-09-28,Monitor,East,1,198.65,Electronics,198.65
2024-03-31,Phone,North,7,795.09,Electronics,5565.63
2024-04-06,Tablet,East,5,787.89,Electronics,3939.45
2024-12-27,Tablet,East,4,585.46,Electronics,2341.84
2023-09-09,Tablet,East,4,1402.74,Electronics,5610.96
2024-12-02,Headphones,West,4,1249.88,Accessories,4999.52
2023-10-23,Headphones,North,6,1060.95,Accessories,6365.700000000001
2024-12-25,Phone,South,8,1085.77,Electronics,8686.16
2024-12-20,Tablet,North,8,719.49,Electronics,5755.92
2023-12-04,Tablet,South,5,1385.44,Electronics,6927.200000000001
2023-02-22,Monitor,West,6,1057.16,Electronics,6342.960000000001
2023-08-05,Headphones,West,4,1107.02,Accessories,4428.08
2023-07-07,Tablet,West,9,1299.45,Electronics,11695.050000000001
2024-01-15,Phone,West,8,447.4,Electronics,3579.2
2024-05-07,Phone,South,1,1220.25,Electronics,1220.25
2023-02-10,Tablet,East,2,333.1,Electronics,666.2
2023-06-06,Headphones,South,9,550.75,Accessories,4956.75
2023-01-15,Phone,North,8,536.64,Electronics,4293.12
2023-03-06,Monitor,West,3,1468.86,Electronics,4406.58
2024-06-04,Phone,West,8,1291.98,Electronics,10335.84
2023-12-10,Laptop,North,1,1066.7,Electronics,1066.7
